순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,노출확률,총영상수,게시일,썸네일URL
1,"01:00","남자들은 절대 모르는","2,061,033","1,130,000","1분만","Good","Good","-","3,973","23.08.20",""
2,"09:09","열심히 해도 안 바뀌는 사람들은 절대 모르는 1가지 (+무료자료) | 호오포노포노 | 인생책추천","77,926","29,100","메리치트키","Good","Good","-","152","25.07.02",""
3,"01:00","남자는 절대 모르는","1,252,839","1,130,000","1분만","Good","Good","-","3,973","23.07.09",""
4,"13:00","여자들은 절대 모르는, 남자가 관계를 피하는 이유","1,237,243","961,000","김달 (Moon)","Good","Good","-","1,087","23.12.10",""
