순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,노출확률,총영상수,게시일,썸네일URL
1,"Collected 14:12","뇌과학으로 입증된 도파민 중독 이용한 독서 습관 만드는 법","1,903,931","31,000","콥튜브","Good","Good","-","312","23.11.14",""
2,"22:15","천재 남매 쇼 야노와 사유리 야노의 독서 습관","1,414,517","2,740,000","KBS 다큐","Good","Normal","-","47,167","21.01.28",""
3,"25:35","책은 절대 우리를 배신하지 않는다","229,225","391,000","EBSi","Good","Bad","-","10,081","25.06.29",""
4,"08:00","700권 읽고 마침내 깨달은 진짜 책 읽고 기억하는 법","293,227","12,300","다독독","Good","Good","-","57","25.07.09",""
5,"31:16","절대 실패하지 않는 독서 습관 만들기","2,557,990","699,000","세바시 인생질문","Good","Good","-","625","21.12.21",""
6,"15:00","만화 영상만 보는 우리 아이 독서 습관","461,394","131,000","NOL 인터파크투어","Good","Good","-","721","19.09.27",""
