순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,노출확률,총영상수,게시일,썸네일URL
1,"01:57","무지외반증 엄지발가락 통증, 미카 수술(MICA) 1탄!","398,123","2,940","예손병원","Good","Good","-","297","24.02.29",""
2,"03:18","[특집] 최소침습 무지외반증수술(MITA), 국내 최초 4,000례 돌파!","461,259","47,200","SNU서울병원TV","Good","Good","-","723","25.09.05",""
3,"03:53","무지외반증 수술 고민 중이신가요? 이 영상 하나로 궁금증을 모두 해결하세요!!","377,373","41,000","연세건우병원","Good","Good","-","418","21.10.19",""
4,"05:52","무지외반증 수술 이렇게 합니다(상처 걱정 X)","289,326","41,000","연세건우병원","Good","Good","-","418","24.04.09",""
5,"40:38","'제발 부끄러울 정도로 아끼세요' 가난한 사람들이 유독 공통적으로 집착하는 '이 소비' (김경필 작가 통합본)","1,581,132","1,050,000","책과삶","Good","Good","-","633","25.07.17",""
6,"05:49","무지외반증 수술 고민이라면 꼭 보셔야 합니다!","148,915","41,000","연세건우병원","Good","Good","-","418","24.03.26",""
7,"14:44","무인양품(MUJI) 가기 전 필수시청! MUJI 베스트 추천템 20가지 & 구매꿀팁","181,546","11,700","쑴라이프_똑똑한 살림로그","Good","Good","-","79","24.12.19",""
8,"09:23","발만 보는 의사가 알려주는 무지외반증 수술 합병증의 모든 것","125,656","41,000","연세건우병원","Good","Good","-","418","22.06.24",""
9,"23:01","놓치면 후회하는 무인양품 베스트 추천템 30가지 총정리","152,131","11,700","쑴라이프_똑똑한 살림로그","Good","Good","-","79","25.05.25",""
