순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,노출확률,총영상수,게시일,썸네일URL
1,"12:54","한 권을 씹어먹는 80여개의 정독 질문 & 국어 교과서에서 배우는 관점 읽기를 체화하는 독해 프로그램","14,709","1,310","CPS교육연구소","Good","Good","-","112","26.01.29",""
2,"01:27","안국역 맛집 끝판왕 정독 사서 추천 BEST 5","12,609","521","서울특별시교육청정독도서관","Good","Good","-","126","25.10.30",""
3,"19:25","[4K, ASMR] 안국역-정독 도서관까지, 고요한 주말 산책","49,771","863","NoKa Walk","Good","Good","-","11","25.06.20",""
4,"19:50","영어원서 정독과 다독을 지도하는 방법 소개드려요","52,777","88,600","미쉘TV","Good","Bad","-","1,003","20.02.06",""
5,"12:48","다독보다 중요한 건 정독! 독서에 숨겨진 속도의 비밀","637,452","5,370,000","EBSDocumentary (EBS 다큐)","Good","Worst","-","66,760","24.10.14",""
