순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,노출확률,총영상수,게시일,썸네일URL
1,"39:14","독서는 '일'이어야만 한다 (최재천 교수 레전드 강연)","2,088,303","1,990,000","스터디언","Good","Good","-","6,292","20.09.12",""
2,"24:14","[아내를 모자로 착각한 남자] 설민석 강독 풀버전 의학계 계관시인 올리버 색스의 대표작! | 책 읽어드립니다 The Page-Turners EP.16","1,480,648","1,140,000","tvN STORY 티비엔 스토리","Good","Good","-","18,425","20.03.05",""
3,"08:00","700권 읽고 마침내 깨달은 '진짜' 책 읽고 기억하는 법","294,501","12,300","다독독 :: 책 읽는 서당개","Good","Good","-","57","25.07.09",""
4,"20:42","슈카쌤 리즈 시절 시험비법","1,586,169","1,370,000","머니코믹스 Money Comics","Good","Good","-","1,743","23.12.22",""
