순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,노출확률,총영상수,게시일,썸네일URL
1,"05:14","망가진 내 인생, 7분 만에 다시 되돌리는법","719,421","24,900","하루관리소","Good","Good","-","49","25.03.19",""
2,"05:41","[위로.성장.감동] 혼자만 뒤처지는 것 같아 미래가 불안한 청춘들에게 전하는 유재석의 메시지...(동기부여)","139,038","3,060","같이갓생","Good","Good","-","108","21.02.23",""
3,"07:16","이 세상은 마인드의 차이야","4,273,567","334,000","정승제사생팬","Good","Good","-","568","22.07.17",""
4,"11:46","법륜스님에게 배우는 마음작용","3,454,254","1,240,000","법륜스님의 희망세상만들기","Good","Good","-","1,572","21.12.01",""
5,"09:40","따라하는 즉시 기분이 나아지는 방법 | 인지행동치료","2,029,434","638,000","지식은 날리지 [Jisik is Knowledge]","Good","Good","-","183","23.09.30",""
6,"03:42","어떤 상황에서도 나는 부딪혀 이길 수 있는 사람이 된다 | 동기부여 영상","1,571,120","351,000","멘탈훈련소","Good","Good","-","189","21.10.09",""
7,"19:32","[쭌스맘vlog]오미크론이 대세라며! 유행에 뒤처지는 건 못 참아 나도 걸렸다 자택치료 vlog","67,183","6,760","쭌스맘","Good","Good","-","179","22.03.11",""
8,"03:20","남들보다 뒤처진 것 같아 불안한 당신에게 | 동기부여 영상","670,391","351,000","멘탈훈련소","Good","Good","-","189","21.10.18",""
