순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,노출확률,총영상수,게시일,썸네일URL
1,"30:08","'모르면 손해보는 보험료 다이어트 꿀팁' (김현우) [경제적 본능]","604,414","160,000","CBS 경제연구실","Good","Good","-","3,049","24.08.28",""
2,"02:45","모르면 손해! 갤럭시워치 울트라 찐 추천템","312,779","194","크래프츠클립","Good","Good","-","121","24.12.16",""
3,"13:57","3일만에 오픽 AL꿀팁 모르면 손해보는 오픽 공부법","73,116","1,830","김지아 Gia","Good","Good","-","36","24.08.11",""
4,"12:55","모든 커피 총 정리","1,186,322","31,000","모르면 손해보는 지식","Great","Good","-","23","26.03.20",""
5,"40:28","ISA → 연금저축 전환, 5년 보유 면제 모르면 손해! 70대 부부 실전 가이드","121,308","30,100","경제 해우소","Great","Good","-","80","26.03.08",""
6,"10:28","모르면 손해보는 이탈리아 여행상식 10가지","101,364","31,000","토모 트래블 : 유럽여행 플래너","Good","Good","-","154","25.08.27",""
7,"00:51","신차 장기렌트 계약 전에 꼭 보세요 (모르면 손해)","88,768","11,600","나우카 - 합리적인 차량구매 솔루션","Good","Good","-","568","26.02.28",""
8,"35:35","모르면 손해보는 메랜 꿀팁 100가지","277,589","99,300","올타쿠나 오락실","Good","Good","-","307","25.05.27",""
9,"10:02","10분만에 끝내는 참치 부위","236,589","31,000","모르면 손해보는 지식","Good","Good","-","23","26.04.30",""
