순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,노출확률,총영상수,게시일,썸네일URL
1,"01:00","다큐멘터리K - 교육격차 1부 - 격차의 조건","56,525","16,000","EBS Preview","Good","Good","-","2,076","23.04.18",""
2,"00:30","긴급속보 똑똑이 도하영, 마침내 공부격차의 비밀이 밝혀져 [스마트올 쿠키&젤리]","2,399,880","21,100","웅진씽크빅","Good","Good","-","641","22.03.29",""
3,"12:01","'세계 치안 6위' 두바이 vs '28위' 한국, 어디가 더 살기 좋을까?ㅣ해라클래스","308,713","149,000","헤럴드TV","Good","Good","-","1,225","24.05.14",""
4,"08:02","아프리카가 가난할 수 밖에 없는 진짜 이유!","3,199,319","981,000","궁금소","Good","Good","-","309","21.10.07",""
