순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,노출확률,총영상수,게시일,썸네일URL
1,"00:15","청소년 추천 도서","58,647","688","책읽어주는여자","Good","Good","-","1,291","25.08.07",""
2,"27:11","[책추천] 인생책 BEST10 공개","156,346","2,610","나비다의 유익한 TV","Good","Good","-","160","23.01.28",""
3,"00:22","제 교과서들을 소개합니다","3,906,695","121,000","쩜","Good","Good","-","805","25.07.16",""
4,"00:11","한 번만 읽어도 눈물 펑펑 쏟을 수 있는 소설책 추천","2,473,423","38,700","작가 김상현","Good","Good","-","445","23.12.31",""
5,"26:52","초등 문해력 학습 가이드 학년별 BEST 책 추천","325,978","32,000","국풀TV","Good","Good","-","647","24.07.19",""
6,"00:58","1년에 책 200권 읽는 독서광 추천 책 4권","1,681,215","38,700","작가 김상현","Good","Good","-","445","23.03.07",""
