순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,노출확률,총영상수,게시일,썸네일URL
1,"33:42","나이 들수록 '이것' 하는 사람은 결국 잘됩니다 50대 이후 인생이 풀리는 이유","59,891","692","생각의정비소","Great","Great","-","166","26.05.09",""
2,"06:48","인생 고민 인생의 격차가 30대에 만들어지는 이유(30대에 꼭 해야 할 것 2가지)30대 고민 20대 고민 40대 고민","98,754","8,960","작가 글리쌤","Good","Good","-","372","19.03.18",""
3,"24:42","30대에 인생 조져지는 7가지 테크트리 40대에 후회없는 삶을 위해","776,234","208,000","김알파카 썩은 인생","Good","Good","-","2,433","21.04.09",""
4,"12:00","30대 후반부터 친구와의 격차가 급격히 벌어지는 과정","53,511","19,200","우리동네재테크","Good","Good","-","90","25.07.06",""
5,"13:33","30대 자가 vs 전세","183,223","111,000","인생컨닝, 박종경 변호사","Good","Good","-","690","25.04.14",""
6,"09:15","같은 한국 다른 인생, 부모 세대와 MZ세대의 진짜 격차 | 경제 애니메이션","86,706","51,800","햄찌 교수","Good","Good","-","170","25.12.12",""
