순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,노출확률,총영상수,게시일,썸네일URL
1,"04:14:18","공부/작업 할 때 집중해서 듣기 좋은 음악 4hr playlist lofi piano","3,255,698","34,100","인프런 inflearn","Good","Good","-","1,243","21.03.16",""
2,"01:00:42","편안하게 독서할때 듣는 음악ㅣ집중력을 높이는 음악","19,595,853","164,000","HealingMate - Dog Music","Good","Good","-","1,511","21.02.05",""
3,"01:00:00","White Noise Study 24","93,555","95","백색소음공부 - Topic","Good","Good","-","423","25.12.27",""
4,"10:00:00","강성태가 공부할 때 듣는 음악 피아노 연주곡 ASMR","23,360,913","983,000","공부의신 강성태","Good","Good","-","3,075","18.09.13",""
5,"10:00:01","공부 집중력 올려준다는 진짜 100% 백색소음 white noise","17,241,693","983,000","공부의신 강성태","Good","Good","-","3,075","18.09.30",""
6,"00:07","강아지 집중력 테스트! 이 소리에 집중한다면…?!","1,703,071","2,090","MIMACO 미마코","Good","Good","-","171","25.04.02",""
