순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,노출확률,총영상수,게시일,썸네일URL
1,"10:37","[자막] 뭘 해도 잘 되는 사람들의 보이지 않는 차이/ Invisible Differences KOREAN AUDIOBOOK (Korean sub)","507,118","28,200","책 읽는 스윗샌드","Good","Good","-","245","20.05.28",""
2,"00:33","유럽의 까다로운 기준을 통과한 매트리스 알뜨레노띠","134,227","70","알뜨레노띠 침대","Great","Great","-","57","26.05.07",""
3,"09:01","만만하게 보이는 사람과 존중받는 사람의 결정적 차이 3가지. 원더풀 마인드","448,215","22,300","원더풀 마인드","Good","Good","-","259","22.05.18",""
4,"34:22","하나님이 선택한 사람만 느끼는 보이지 않는 피로 캐서린 쿨만","114,609","25,000","말씀의 서재","Good","Good","-","163","25.10.12",""
5,"11:13","만만하게 보이지 않는 법 정약용 삶의 지혜 인생 명언 인간관계 조언 그릇이 큰 사람과 작은 사람의 결정적 차이","774,765","34,900","인생지식 큐레이터","Good","Good","-","26","23.03.31",""
6,"03:07","[영유아 애니메이션_교통] 보이지 않는 곳이 있어요","53,377","2,340","한국생활안전연합 SAFIA","Good","Good","-","128","21.01.18",""
