순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,총영상수,게시일,영상ID,썸네일파일
144,3:34,"💍 “딱 한 번 이에요“ | king Gnu(킹누) - AIZO(애증) (주술회전 OST) [가사/해석]",265065,362,"냐냥코코몽",Good,Great,3,2026.03.28,yxZ6YBPb7Qs,yxZ6YBPb7Qs.jpg
145,7:52,"워킹맘, 직장 출근 전 30분으로 월 30만원 아낍니다.(배달비 0원)",171861,4770,"뚝딱 살림",Great,Great,28,2026.03.28,3WWsNTynpiE,3WWsNTynpiE.jpg
146,11:04,"절대 후회없는 다이소 캠핑용품! 품절 전에 꼭 사세요",242207,15400,"의놈들 캠핑",Great,Good,507,2026.03.27,U1fNlMMKTkE,U1fNlMMKTkE.jpg
147,15:13,"""당신이 하자 해놓고 왜 내 탓을 하냐고!"" 결국 윤석열 배신 결심한 충격적인 순간.. 듣고 있던 김용현도 경악, 결국 재판 현장 초토화",672273,118000,"시사수첩",Great,Good,129,2026.03.27,IzzeqSTgJHY,IzzeqSTgJHY.jpg
148,39:48,"부자가 되고 싶다면, ‘5가지’를 남에게 절대 주지 마십시오. 재물복이 줄줄 새어나갑니다 | 부처님 말씀 | 석가모니 | 불교명언 | 불교오디오북",147159,8100,"자비로운 길",Great,Great,37,2026.03.27,ef-OnBh4itE,ef-OnBh4itE.jpg
149,26:39,"외국 모델과 아바타 소개팅 (w.명예영국인)",1043356,142000,"천상여자 김지유",Great,Good,253,2026.03.26,PxSJZrEQHZo,PxSJZrEQHZo.jpg
150,5:31,"최근 암 환자가 많아진 이유｜크랩",2458287,1010000,"크랩 KLAB",Great,Good,4613,2026.03.24,-rtLNR3SJqI,-rtLNR3SJqI.jpg
151,12:08,"요즘 전기차 사면 안되는 이유 (진짜 현실 경험담)",251724,27500,"중고차 카마왕",Great,Good,255,2026.03.23,i_ywN_4APC0,i_ywN_4APC0.jpg
152,19:58,"거실 분위기가 달라지는 '요즘 인기 식물' 총집합!",116984,9920,"서작가이너뷰",Great,Great,219,2026.03.22,-__HDVyWQMg,-__HDVyWQMg.jpg
153,19:16,"미야코지마 4박 5일 여행경비 코스 총정리 (4인 가족 400만원 종결)",568867,7420,"시수패밀리",Great,Great,30,2026.03.21,EEJcEUUeipU,EEJcEUUeipU.jpg
154,53:59,"일본 노인들이 노후에 돈을 쓰는 방법",102118,8070,"누룽지마당",Great,Great,48,2026.03.20,i1-sRLkEZZ0,i1-sRLkEZZ0.jpg
155,21:40,"클로드 코드(claude code)+ 피그마(figma)로 일관된 디자인 하는 방법. (디자인 시스템으로 바이브 코딩하기)",69741,35000,"피튜브",Great,Good,328,2026.03.20,cSx1GCgoCrU,cSx1GCgoCrU.jpg
156,16:39,"치과에서 숨기는 ‘가성비 시술’ 스케일링보다 100배 더 중요합니다 | (이거 알려 주면 양심 치과임 ㄷㄷ)",781155,20500,"똑똑한 치과형",Great,Good,34,2026.03.19,qUywzoxPxwU,qUywzoxPxwU.jpg
157,13:10,"여자가 남자를 좋아하게 되는 심리 과정 | 단순 호감이 남자로 바뀌는 순간 #러브커넥트 #연애심리치유 #유지연",131945,25500,"러브커넥트 유지연",Great,Good,577,2026.03.18,DvxMfC_KjX0,DvxMfC_KjX0.jpg
158,15:12,"아이패드 유저 필수 시청! 아이패드 초기 필수 설정 & 생산성 세팅법",184280,72200,"제인킴",Great,Good,266,2026.03.17,AmraEvkdBIY,AmraEvkdBIY.jpg
159,28:25,"여든 살에 가장 행복하다는 사람들의 비밀 | 노년을 빛나게 만드는 12가지 습관",52945,15400,"당신의 인생백년",Great,Good,380,2026.03.16,847ITLlwvs0,847ITLlwvs0.jpg
160,20:50,"식단으로 살 빼기 어렵다? 식단 관리 효과 없는 진짜 이유 (-38kg 감량 의사)",98262,11500,"건강IN으로",Great,Good,3346,2026.03.16,bfSmjcbzeyk,bfSmjcbzeyk.jpg
161,7:26,"집이 고급스러워 보이는 7가지 인테리어 디테일 ㅣ 인테리어 | 집꾸미기 | 공간인테리어",169794,8800,"삶을 담은 공간",Great,Great,69,2026.03.16,F621ACwX4T8,F621ACwX4T8.jpg
162,9:47,"뼈마른 갱년기 일본인 113만명, 사실은 ‘이것’만 했다?",258104,5350,"무릎통증 연구원 : 무릎통증 극복 노하우",Great,Great,57,2026.03.16,DoSExzi0qvQ,DoSExzi0qvQ.jpg
163,23:17,"피해야 할 국내 조미료 브랜드 10가지! (그리고 진짜 가치 있는 3가지 브랜드)",80017,10500,"식품의진실",Great,Good,95,2026.03.16,2zv9KOr4NnI,2zv9KOr4NnI.jpg
164,22:27,"이것만 살짝 바꿨는데 드라이버 비거리가 놀랍도록 늘어납니다!",275224,78400,"구수한 골프레슨 [문준호 프로]",Great,Good,536,2026.03.16,0YJcedjy7Ag,0YJcedjy7Ag.jpg
165,18:30,"118_조용히 혼자 강해져라 | 결국 성공하는 사람은 이렇게 살아갑니다 | 나폴레온 힐",111299,9190,"성공의법칙",Great,Great,131,2026.03.16,VuP9UCihr-k,VuP9UCihr-k.jpg
166,27:46,"60~70세 이후, 노년에 이성을 사랑하면 안 되는 진짜 이유 5가지 | 김형석 교수 인생 조언 | 위대한 사람들의 인생 철학",93551,817,"노년의 참뜻",Great,Great,14,2026.03.15,M6Oracmn9M8,M6Oracmn9M8.jpg
167,29:53,"김형석 교수 | 노년에 자식들이 무시한다면 이 한마디만 하세요 태도가 180도 변합니다 | 부모자식관계",200954,4130,"위대한 여정",Great,Great,61,2026.03.14,KgyUZX2omB0,KgyUZX2omB0.jpg
168,12:12,"지금 당장 따라 할 수 있는 거실 넓히는 7가지 방법 ㅣ 인테리어 | 집꾸미기 | 공간인테리어",77849,8820,"삶을 담은 공간",Great,Great,69,2026.03.14,_xB3AXCz2Gg,_xB3AXCz2Gg.jpg
169,22:43,"[중드ost] 고민하지 말고 3월 중드는 바로 이거다! 축옥(逐玉)OST✨Pursuit of Jade OST",186072,405,"아이니 _爱你520",Great,Great,20,2026.03.12,BBOG40vvooQ,BBOG40vvooQ.jpg
170,3:09,"YENA (최예나) - 캐치 캐치 (Catch Catch) MV",20549990,11200000,"Stone Music Entertainment",Great,Good,14445,2026.03.11,NOiyDlWl534,NOiyDlWl534.jpg
171,17:18,"당신의 주식이 네 마녀의 날에 갑자기 폭락하는 소름 돋는 이유 (선물/옵션 완벽 정리)",176484,29900,"떠먹여주는경제",Great,Good,52,2026.03.11,FCXEJoxyfck,FCXEJoxyfck.jpg
172,16:51,"이것만 기억해도 드라이버 정타 쉬워집니다!(KPGA 김홍택프로)",212731,16500,"세계유명 골프레슨",Great,Good,279,2026.03.09,iIKbXHA3nJU,iIKbXHA3nJU.jpg
173,9:48,"코딩 배우지 마세요, 말 한마디로 주식 에이전트 만드는 법",94170,15700,"AI 사용성연구소",Great,Good,58,2026.03.09,jKjbXXBahiY,jKjbXXBahiY.jpg
174,15:59,"[알지RD][시즌2](EP5) 신약 개발계 하이패스 물고기가 있다고?(한국화학연구원)",242155,32300,"[Oh-KEIT!] 한국산업기술기획평가원",Great,Good,545,2026.03.09,_H_8-CGKLG4,_H_8-CGKLG4.jpg
175,30:59,"같이 살자고하는 그녀..[태국_방콕]",377404,29200,"태니고(Tanny Go)",Great,Good,355,2026.03.08,1Gjnrt8aDDc,1Gjnrt8aDDc.jpg
176,16:37,"위스크 종료 후 대안 + 브루 조합 | 무료로 AI 롱폼 영상 자동 제작",93213,20400,"라핀 | AI 자동화 바이브코딩",Good,Good,16,2026.03.08,N53Ykw3XjSk,N53Ykw3XjSk.jpg
177,11:58,"왜 어떤 집은 식물만 놔도 카페처럼 보일까? 인테리어 디자이너만 아는 식물 5가지ㅣ플랜테리어 ㅣ 인테리어 | 집꾸미기 | 공간인테리어",76078,8800,"삶을 담은 공간",Good,Good,69,2026.03.08,V0F9lUlRO-U,V0F9lUlRO-U.jpg
178,31:33,"봄맞이 집 대청소하는 날 | 작은평수 집대청소. 주부의 수납/정리 아이디어. 다이소 정리/청소 용품 추천. 새로산 청소템 언박싱하고 냉털해서 봄동요리 만들기. 봄동비빔밥. 무된장국",57004,14200,"오정 O'Jeong",Good,Good,54,2026.03.07,EhhYTY-_Dsg,EhhYTY-_Dsg.jpg
179,32:57,"사고치는 치매부모님께 폭발한 하루, 5년만의 담배",203492,62100,"Name Brush 치매부부",Good,Good,302,2026.03.06,HPZxMpYywpo,HPZxMpYywpo.jpg
180,15:12,"[EP.6]한달 점심 한번에 베팅하는..🥊자취생 밀프렙 만들기🥕🥑ㅣ바질샐러드 파스타&스프링롤🍅ㅣ회오리 오므라이스🌪️ㅣ3가지 재료 대파육개장ㅣ당면 소분🫙ㅣ초간단 카레밥🍛",725348,260000,"똘비 ddolbi",Good,Good,137,2026.03.05,QGK6-HdUhSI,QGK6-HdUhSI.jpg
181,36:17,"세계 최악의 좀비 거리, 미국 켄싱턴",856897,213000,"보통 사람",Good,Good,54,2026.02.22,WLWm9A2hlG0,WLWm9A2hlG0.jpg
182,25:06,"와....이 영화 진짜 미친듯이 재밌어요ㅋㅋㅋㅋ🔥처음부터 끝까지 미친듯이 웃기는 27분 삭제시키는 개꿀잼 코미디 영화",1102939,251000,"U무비",Good,Good,326,2026.02.22,1zL8AzYUv9M,1zL8AzYUv9M.jpg
183,24:43,"모임에서 유독 품격있는 사람들이 옷을 단정하게 입는 '진짜 이유' ㅣ Ep. 책과사람 62 (김경일 교수님 3부)",1127600,1070000,"책과삶",Good,Good,649,2026.02.22,E5B-bl-WdZY,E5B-bl-WdZY.jpg
184,19:49,"""누구나 한 번쯤 사용한 충격적인 혈압계의 진실"" 잘못된 혈압 측정법으로 20%의 환자들은 기계의 오진을 받아 강한 혈압약을 먹었다 │명의│#EBS건강",1342885,454000,"EBS 건강",Good,Good,1558,2026.02.21,ctyvGluAS30,ctyvGluAS30.jpg
185,10:56,"삼성폰 쓰면 비싼 태블릿 필요없습니다! 갤럭시 삼성노트의 7가지 숨은 기능!",449250,56600,"우리집 생활노트",Good,Good,58,2026.02.20,tqjL8Ne5zCU,tqjL8Ne5zCU.jpg
186,31:10,"""내가 이렇게나 작은 존재였다니"" 침대에 누워서 보다가 소름... 30분으로 요약한 압도적인 우주의 크기부터 신비로운 별의 죽음 까지 #과학 #EBS지식",2072437,287000,"EBS 지식",Good,Good,806,2026.02.16,M5eMLRKKp1c,M5eMLRKKp1c.jpg
187,1:41,"스쿠나가 말아주는 중독성 지리는 펑크🔥🔥 : MONTAGEM REBOLA - DJ FKU, ALTXS {가사/해석/lyrics}",734426,4730,"SOMDUCK",Good,Good,15,2026.02.13,s1q-chgrz8s,s1q-chgrz8s.jpg
188,17:48,"미니 PC, 노트북 싹 다 가짜였습니다. 쿠팡에 침투한 중국 사기단의 정체",1188185,501000,"뻘짓연구소",Good,Good,772,2026.02.03,5a83G733fco,5a83G733fco.jpg
189,22:41,"""창문 깨고 끌어내!"" 미 공군 중령 vs 미국 경찰",560290,14600,"범죄 읽어주는 심리학자",Good,Good,59,2026.01.30,r2OlJTSVJC8,r2OlJTSVJC8.jpg
190,20:27,"""증상 없이 실명에 이르는 녹내장 무섭다"" 녹내장 걸리는 습관 뭔지 봤더니... 20대 30대 실명 위험 신호│귀하신 몸│#EBS건강",921365,454000,"EBS 건강",Good,Good,1558,2026.01.28,hY8ISRDoVxo,hY8ISRDoVxo.jpg
191,2:11,"DB9 The Baby Rhino Song | #kpop | #animalsong | #kids | #dance | #아기코뿔소송 #new #africasafarisong",1766619,321000,"다이노밴드 (DinoBand)",Good,Good,73,2026.01.22,A8QKbXsdW7A,A8QKbXsdW7A.jpg
192,15:41,"남은 잔액 23000원",1480038,378000,"그냥 필름",Good,Good,187,2026.01.17,ricE68z2N7k,ricE68z2N7k.jpg
193,18:02,"“돈 많이 쓰지 말고 동안 보톡스 딱 3곳만 맞으세요!"" 보톡스 부작용, 절대 맞으면 안되는 곳, 보톡스 내성까지 20년차 피부과 전문의가 알려드립니다.",2009451,179000,"피부는 성현철",Good,Good,151,2026.01.02,X7ALVopvr9Q,X7ALVopvr9Q.jpg
194,14:31,"전국 ㅍlㅇr노 1우l 원ㅈБ쌤ㅇi 끌己l는 ○I유☆🎹 #정이랑 #추억 #공감 #2000년대 [쇼팽피아노학원]",1220876,193000,"정이랑의 진기명기",Good,Good,214,2025.12.25,CaV4k_HpU-c,CaV4k_HpU-c.jpg
195,18:15,"산타가든🎄| 이진이네 깜짝 방문한 카더클로스🎅🏻",4438503,293000,"말랑콩떡 유이진",Good,Good,137,2025.12.24,giYNe7kDZCE,giYNe7kDZCE.jpg
196,18:02,"10,000일 동안 세상에서 제일 작은 기지를 만들어 생존하겠습니다 [로블록스 99나이트인더포레스트]",677704,40300,"로블록스 달이",Good,Good,28,2025.12.20,Phwh0vNJvFo,Phwh0vNJvFo.jpg
197,8:05,"유명한 아기비데 실사용 비교ㅣ어떤게 가장 편할까?ㅣ포프베베, 허그베어, 밤비데, 힙비데 +해피달링",295565,37200,"육토리얼",Good,Good,23,2025.12.19,TuhQKmI-A9I,TuhQKmI-A9I.jpg
198,12:37,"메디칼 변경 사항 2026-2028 (한국어)",50465,1260,"Kheir Clinic | 이웃케어클리닉 | Clínica Kheir",Good,Good,125,2025.12.19,SSJbroagiXQ,SSJbroagiXQ.jpg
199,16:22,"10,000일 동안 셰프로 모든 요리들을 만들어보겠습니다 [로블록스 99나이트인더포레스트]",775179,40300,"로블록스 달이",Good,Good,28,2025.12.06,xpA2uds4QVg,xpA2uds4QVg.jpg
200,22:35,"늙을수록 어린사람에게 절대 '이것' 말하지 마세요 ㅣ Ep. 44 책과사람 (최태성 선생님 1부)",1237881,1070000,"책과삶",Good,Good,649,2025.12.06,Sj2OH9gNf_c,Sj2OH9gNf_c.jpg
201,25:58,"서울보다 비싼 물가!?, 세계 1위 여행지 방콕의 충격적인 근황",924930,506000,"세계는요지경 YOZIGYEONG",Good,Good,394,2025.12.06,kA41xY9YKYs,kA41xY9YKYs.jpg
202,3:11,"[주토피아2 OST] Shakira - Zoo 피아노 커버 / [Zootopia 2 OST] Shakira - Zoo extreme piano cover",922782,137000,"건반윤",Good,Good,542,2025.12.03,EhrBz3kg9C8,EhrBz3kg9C8.jpg
203,29:53,"99% 유튜버가 이 간단한 15개 설정을 안해서 조회수 반토막 납니다..",117341,12000,"안녕자유",Good,Good,122,2025.12.02,zvnbF9-Y_4w,zvnbF9-Y_4w.jpg
204,52:41,"S&P500 ETF 시작하고 투자하는 법! 꼭 이만큼만 사두세요! 노후 돈 걱정 끝납니다 (박곰희 작가 통합본)",1387556,1070000,"책과삶",Good,Good,649,2025.11.24,lqM9PFrmqb0,lqM9PFrmqb0.jpg
205,21:21,"내 운을 빨아들이는 무조건 피해야 하는 사람유형 3가지 ㅣ Ep. 40 책과사람 (나태주 시인 1부)",1416614,1070000,"책과삶",Good,Good,649,2025.11.09,2in-AZ-FpLI,2in-AZ-FpLI.jpg
206,26:15,"공실률이 무려 97%, 세계에서 가장 큰 유령도시 탐방기",939062,506000,"세계는요지경 YOZIGYEONG",Good,Good,394,2025.11.01,0fRZvl1kUiI,0fRZvl1kUiI.jpg
207,36:22,"서울 아파트의 틀에서 벗어난 집? 럭셔리 인테리어의 끝을 보여주는 용산구 용산동 50평 아파트🏠",902921,218000,"소비요정의 도시탐구",Good,Good,511,2025.10.30,kC1xp27hNE0,kC1xp27hNE0.jpg
208,2:41,"LE SSERAFIM(르세라핌) 'SPAGHETTI' (4K) | STUDIO CHOOM ORIGINAL",27219181,6160000,"STUDIO CHOOM [스튜디오 춤]",Good,Good,4439,2025.10.25,WAUSsfU00L0,WAUSsfU00L0.jpg
209,13:07,"“빨래 끝났습니다"" LG의 시대가 올지도.. 세계가 경악한 휴머노이드 영상 공개 ㄷㄷ",1462895,913000,"에스오디 SOD",Good,Good,1825,2025.10.17,KHQeo0KX0Lc,KHQeo0KX0Lc.jpg
210,3:37,"조용필 - 잊혀진 사랑 [광복80주년 KBS대기획 - 조용필, 이 순간을 영원히] | KBS 251006 방송",5167455,2170000,"KBS 레전드 케이팝",Good,Good,30973,2025.10.06,KNhh_4VOlYo,KNhh_4VOlYo.jpg
211,8:05,"인테리어 업자도 모르는 힘펠 휴젠뜨의 충격적 진실! | 3년 사용 리뷰",116739,1210,"편파리뷰",Good,Good,52,2025.10.04,1fpA1agv__w,1fpA1agv__w.jpg
212,57:41,"역사상 가장 강렬한 스토리로 남자들의 가슴을 불태운 절대 명작 [비극적 누아르의 진수]",1373319,102000,"달콤 리뷰",Good,Good,50,2025.10.04,NFAVEEJhx4M,NFAVEEJhx4M.jpg
213,23:33,"유독 모임에서 우아한 사람들은 꼭 '이렇게' 입어요 ㅣEp. 32 책과사람 (이호선 교수 1부)",1679995,1070000,"책과삶",Good,Good,649,2025.10.02,ckp2V26bRGg,ckp2V26bRGg.jpg
214,30:25,"상상을 초월하는 지구의 15가지 장엄한 자연 절경 – 이곳들을 모르고 지나친다면 분명 후회할 거예요",466376,71500,"피닉스",Good,Good,158,2025.10.01,LQGmxijSYd0,LQGmxijSYd0.jpg
215,44:31,"남자 홀리는 여자 몰아보기 | 웹드라마 (SUB)",992580,79200,"팀코피",Good,Good,329,2025.09.20,x5SoIg0WuKU,x5SoIg0WuKU.jpg
216,50:56,"수능 7일전 최고의 선택! 한국사 전범위 | 2026학년도 벼락치기 한국사",472474,58200,"공부돼지",Good,Good,83,2025.09.20,HL-BMJu2osU,HL-BMJu2osU.jpg
217,9:14,"유튜버 99%가 놓치는 이것 때문에 조회수 반토막 나는 업로드 세팅",341771,13400,"AI로 돈버는법, 머니알고리즘",Good,Good,14,2025.09.16,pWFGNr0hcDw,pWFGNr0hcDw.jpg
218,10:42,"등교grwm(+앞머리 자르기, 고데기 방법)",294028,56700,"키마이에진",Good,Good,44,2025.09.07,azFlsKKdWLg,azFlsKKdWLg.jpg
219,33:50,"뇌졸중 환자 그만 받고 싶습니다 🧠 뇌졸중 1편에 이은 못다 한 이야기 (f. 이승훈 서울대병원 신경과 교수)",712542,540000,"유성호의 데맨톡(Deadmantalk)",Good,Good,576,2025.08.30,b9-P0rSXrTA,b9-P0rSXrTA.jpg
220,16:15,"전립선암 진단의 초격차!! 넘볼 수 없는 차이를 만드는 격!!",1461410,23500,"건전한 비뇨기과 김교수",Good,Good,410,2025.08.19,tN6jGK40sfQ,tN6jGK40sfQ.jpg
221,2:07,"서울대생 ""양보할 사람만 앉아야"" 임산부석 개선 아이디어 '시끌'/ KNN",1720188,1210000,"KNN NEWS",Good,Good,187195,2025.07.31,3xttIy8goFc,3xttIy8goFc.jpg
222,14:39,"“의사들 밥줄 끊길 각오로 말합니다” 뇌출혈 터지기 싫다면, 지금 당장 바꾸세요! 기름 낀 혈관, 시원하게 싹 씻어내세요 (서울대병원 이승훈 교수)",5209255,434000,"건강의 신",Good,Good,204,2025.07.25,HYuN5r9EQ7U,HYuN5r9EQ7U.jpg
223,13:57,"가격이 700만원에서 8만원으로 나락 가버린 그래픽카드를 쓸 수 있을까?",921414,251000,"민티저",Good,Good,335,2025.07.21,XGjdTZrDPXE,XGjdTZrDPXE.jpg
224,18:31,"“'이 증상' 있다면 이미 뇌졸중은 시작됐다"" 두통도 이명도 아닙니다! 뇌졸중 직전, 마지막 돌연사 신호! ‘절대’ 그냥 넘기지 마세요 (서울대병원 이승훈 교수)",3154416,434000,"건강의 신",Good,Good,204,2025.07.03,8kUjh0siDGY,8kUjh0siDGY.jpg
225,16:27,"베트남 국제결혼 신부가 너무 예뻐서 정신 못차리는 신랑🤭 뽀빠이와 올리브의 너는 내 운명 스토리 2편",2978652,122000,"베국스국제결혼TV",Good,Good,422,2025.06.28,PmE6gNGtyCo,PmE6gNGtyCo.jpg
226,23:34,"(ENG) 돈키호테 살래 말래? 뭐 살지 애매하긴 해, 싶은 것들 대신 리뷰해 드립니다 | 할명수 ep.242",2389511,1710000,"할명수",Good,Good,1324,2025.06.27,43iIgI-PIAg,43iIgI-PIAg.jpg
227,26:42,"윤도현 라이브를 실제로 들은 외국인들 반응ㄷㄷ",1159549,521000,"웃긴 테레비",Good,Good,5931,2025.06.11,Flk5afoLobA,Flk5afoLobA.jpg
228,21:41,"한국군 총기 처음 본 탈북군인의 놀라운 반응 ""북한군 전부 아작납니다"" [dmz탈북군인 류성현2부]",1198767,399000,"사이다 : 사실은 이렇습니다",Good,Good,535,2025.06.10,HWEGaZn4VkI,HWEGaZn4VkI.jpg
229,13:15,"[2026 FIFA 북중미 월드컵 아시아 3차 예선] 이라크 vs 대한민국 풀 하이라이트",4170858,812000,"쿠팡플레이 스포츠",Good,Good,13599,2025.06.06,uw_X4usDCWE,uw_X4usDCWE.jpg
230,6:09,"이게 상식이라고요? 전 연령 대상 상식 퀴즈 30문제｜6분 컷 도전! | 상식퀴즈 2편",405566,9660,"퀴즈도리",Good,Good,300,2025.05.19,YwCXRUxT6TY,YwCXRUxT6TY.jpg
231,19:21,"""의사들도 절대 추천 안합니다"" 진짜 솔직하게 말씀드려요. '이 검진'은 웬만하면 받지 마세요 l 강형창 원장",3342412,118000,"김현욱의 지식의길",Good,Good,273,2025.05.12,eC9fLThcuuw,eC9fLThcuuw.jpg
232,33:07,"아이언샷 잘 치는법! 10타 줄어드는 경사면 스윙 공식!",1015982,254000,"세계유명 골프정보",Good,Good,470,2025.05.02,aAtvbqj3sqo,aAtvbqj3sqo.jpg
233,54:29,"🌿 나는 이제 마음 편히 살기로 했다 📘 인생을 즐기는 사람이 되는 방법 💡",714042,462000,"책읽는 자작나무",Good,Good,459,2025.04.27,5aEv0EjAjrw,5aEv0EjAjrw.jpg
234,4:12,"[MV] 도이치(Doechii) - Anxiety | 한글자막 뮤직비디오",1224568,269000,"유니버설 뮤직 코리아 Universal Music Korea",Good,Good,3187,2025.04.23,VdrddEolU_s,VdrddEolU_s.jpg
235,13:22,"10만 원으로 픽시 자전거를 살 수 있을까?",512647,228000,"0.1통 라이더",Good,Good,486,2025.04.17,-wgchSHhAXY,-wgchSHhAXY.jpg
236,18:37,"[#유퀴즈온더블럭] 비만 전문의가 말하는 하루에 만 보를 걸어도 살이 안 빠지는 이유💡 당신이 한 운동은 운동이 아닙니다🙅‍♂️",4014229,3360000,"디글 클래식 :Diggle Classic",Good,Good,77605,2025.02.19,azknRoYaMs0,azknRoYaMs0.jpg
237,9:51,"[스마트홈 ]벽스위치에 넣어 쓰는 벽스위치용 스마트 모듈 완벽 셀프 설치 가이드",584551,27600,"생활의기술",Good,Good,626,2025.02.18,Dl2E8J9cP6Q,Dl2E8J9cP6Q.jpg
238,19:37,"(ENG) 배불러 미Chill 것 같아도✨일본 편의점✨ 리뷰는 못 참지 | 할명수 ep.222",3698944,1710000,"할명수",Good,Good,1324,2025.02.14,VfTLQj9tajk,VfTLQj9tajk.jpg
239,8:05,"2010년대 히트한 노래 1초 듣고 맞히기 25곡",596230,19400,"그퀴즈",Good,Good,111,2025.02.11,k3l2RmZYDqI,k3l2RmZYDqI.jpg
240,3:55,"아이폰 미성년자 자녀 계정 만들기부터 로그인 방법까지 가이드 (애플 계정)",77419,14500,"cocojuan코코쥬안",Good,Good,644,2025.01.30,Z7iSJvTN3JY,Z7iSJvTN3JY.jpg
241,13:38,"변호사가 알려주는 경찰조사 받는 법 (경찰서 갈 일 생기면, 이 영상 꼭 보고 가세요)",89013,41200,"나는 영업인이다",Good,Good,430,2025.01.27,dXLzn-Aa59A,dXLzn-Aa59A.jpg
242,3:11,"전유진(チョンユジン) - 묻어버린 아픔(葬った痛み) ｜한일톱텐쇼 33회",2763344,2260000,"MBN MUSIC",Good,Good,9937,2025.01.20,vnUvcPVyAfI,vnUvcPVyAfI.jpg
243,8:18,"30문제 중 최소한 10개는 맞히셔야 합니다 [상식퀴즈25편] #상식퀴즈 #상식",287177,49400,"모둠 상식",Good,Good,90,2024.12.19,qFFt9HBwxyU,qFFt9HBwxyU.jpg
244,5:39,"이걸 알면 자전거 탈때 엉덩이 통증이 사라집니다:)",768492,20800,"미스터환 - 환바이크",Good,Good,225,2024.12.08,JvRSz2DCoR8,JvRSz2DCoR8.jpg
245,49:10,"술도 안 하는데 나도 모르게 간을 망가뜨리고 있었던 식습관│음식만 바꿨을 뿐인데 3주 만에 달라진 간 상태│간경변과 간암│귀하신 몸│#EBS건강",2880342,454000,"EBS 건강",Good,Good,1558,2024.11.27,Q560aY7XpLc,Q560aY7XpLc.jpg
246,8:46,"6가지 불닭 먹어볼게..?🌶️🌶️🔥🔥화채걸의 먹방 ASMR",1175444,624000,"에이미Amy",Good,Good,299,2024.11.12,Ma1ihsUsk60,Ma1ihsUsk60.jpg
247,21:22,"쿠팡템으로 꾸민 내가 꿈꾸던 듀얼 모니터 셋업ㅣ데스크테리어ㅣ책상 꾸미기ㅣ데스크투어ㅣ전선정리ㅣ모션데스크ㅣ다이소 정리ㅣ모니터암 | 삶의 질 10배 상승템",1972383,50200,"살림맘",Good,Good,73,2024.10.29,VFC4tXXxmcs,VFC4tXXxmcs.jpg
248,2:50,"로제 (ROSÉ), Bruno Mars - APT. [가사 | Lyrics]",1041576,36100,"슬랴+",Good,Good,276,2024.10.18,lpP7rIm0rDU,lpP7rIm0rDU.jpg
249,3:34,"BLACKPINK (블랙핑크) - 마지막처럼 [가사 | Lyrics]",771754,36100,"슬랴+",Good,Good,276,2024.09.18,ZNruZeiForw,ZNruZeiForw.jpg
250,53:03,"토익 독학으로 500에서 980까지 올린 사람이 정리한 10회독 + 낭독 학습법 (풀버전)",369894,36500,"영어 기본기 연구소",Good,Good,217,2024.09.03,zVb5SthTYOs,zVb5SthTYOs.jpg
251,17:22,"열여덟의 갈고 닦은 웜톤 화장 레츠기릿.",2494614,88300,"함민서",Good,Good,23,2024.08.26,CgI4u59FEDY,CgI4u59FEDY.jpg
252,24:39,"Basic Grammar in Use 관련 글만 12년간 250개 쓴 사람이 정리한 학습법 풀버전 (내용 10회독, 추가 낭독 최소20번. 총 50~100시간 반복.)",228549,36500,"영어 기본기 연구소",Good,Good,217,2024.08.11,87lAOgkNp5Q,87lAOgkNp5Q.jpg
253,4:50,"미운 말 다 진심은 아니야 😞 | ¥$, Kanye West & Ty Dolla $ign - 530 [가사 해석]",806963,2520,"아테노AthenoH",Good,Good,11,2024.08.09,mGFEb8P620Y,mGFEb8P620Y.jpg
254,20:28,"정리된 공간에 올바른 마음이.. 68세 주부가 전하는 정리의 가치 | 전국살림자랑 ep.52",3932688,731000,"정리마켓",Good,Good,520,2024.07.24,KRY3_lmoTyA,KRY3_lmoTyA.jpg
255,26:53,"[초등 문해력 학습 가이드] 기파랑 대치 최지아 선생님의 학년별 BEST 책 추천_기파랑문해원_국풀_문해력_독서_초등독서",328562,32200,"국풀TV",Good,Good,653,2024.07.19,MGjXHZjMIwo,MGjXHZjMIwo.jpg
256,21:01,"""아니, 식단만 바꿨을 뿐인데..."" 운동해도 생기지 않던 근육이 맞춤 식단을 통해 근감소증이 해결 됐다!│귀하신 몸│#EBS건강",2036606,454000,"EBS 건강",Good,Good,1558,2024.06.26,VIU578SCBoE,VIU578SCBoE.jpg
257,4:44,"병원 망하는 30초 어깨 운동 (feat 영업 비밀)",6629666,268000,"닥터 마디마디 Dr MadiMadi",Good,Good,2076,2024.06.25,M-1E2q4KGG4,M-1E2q4KGG4.jpg
258,46:31,"[영어듣기 초중급] Small Talk 스몰 토크ㅣ영어회화 팟캐스트ㅣ영어말하기 듣기 연습ㅣ생활영어ㅣ원어민이 가르쳐 주는 영어회화",1000914,206000,"영어말하기-Speak English",Good,Good,962,2024.05.30,y4IPMYSyqq4,y4IPMYSyqq4.jpg
