순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,총영상수,게시일,영상ID,썸네일파일
58,22:03,"부동산 시장이 송두리째 뒤집어질 법안 또 나왔다",121564,2470,"시사 코멘터리",Great,Great,102,2026.05.14,7XfGj9Pbksk,7XfGj9Pbksk.jpg
59,47:11,"밤에 너무 잘 자는 노인이 오히려 치매에 더 빨리 걸립니다｜노년에 절대 하지 말아야 할 잠자기 습관 6가지 | 김형석 교수",110144,11300,"백년을 사는 지혜",Great,Good,63,2026.05.13,Xw24p_Q5jcA,Xw24p_Q5jcA.jpg
60,54:26,"김건희 尹 면전에 ‘야이 개XX야’ 尹 얼굴 뻘개지며 부풀어오르더니 '저년 뭐야?' 법정 초토화 결국 국힘해체 터졌다",310010,20000,"굳세라 잼",Great,Good,105,2026.05.12,tN7bjT1gtz0,tN7bjT1gtz0.jpg
61,24:45,"2026년 나스닥100 완전히 바뀐다? 역대급 기회온다!+스폐이스X 상장시 ETF 투자자가 꼭 알아야 되는 것 지금이 역대급 돈벌 기회인 이유",140782,81700,"만화 경제학",Great,Good,319,2026.05.12,X5gabVvftQ8,X5gabVvftQ8.jpg
62,23:33,"운동 없이도 늙은 다리에 근육이 붙는다? 밥과 ""이것""을 함께 끓여 먹었더니 쇠약해진 몸과 뼈가 철근처럼 단단해진 놀라운 이유!",51264,2720,"몸이 보내는 경고",Great,Great,45,2026.05.11,f-xL3uDvqLE,f-xL3uDvqLE.jpg
63,4:56,"친정엄마비법 두부찌개 이대로만 하면 밥 두공기 순삭!",318721,21000,"집밥최고",Great,Good,21,2026.05.10,SvV2X7tk7K8,SvV2X7tk7K8.jpg
64,10:13,"경제신문 무료로 보는법 📰 (경제공부 초보 읽는 방법 👀)",72066,22900,"찌니ZZINI",Great,Good,393,2026.05.10,PIiGnsoTl7I,PIiGnsoTl7I.jpg
65,7:29,"평범해 보여도 묘하게 끌리는 사람의 2가지 특징",985848,827000,"비치키",Great,Good,506,2026.05.09,jbLlnf_fCrk,jbLlnf_fCrk.jpg
66,9:10,"강아지 혼자 두고 나갈 때 하면 절대 안 되는 행동, 혼자 남겨진 강아지 심리",243087,7640,"멍멍 시그널",Great,Great,28,2026.05.08,eiGhdmTjl4Q,eiGhdmTjl4Q.jpg
67,18:19,"＂오랫동안 학대 받았던 사람한테 나타나는...＂ 제작진에게 충격적인 말을 전해준 이호선?!😱 | 이혼숙려캠프 | JTBC 260507 방송",2214715,488000,"JTBC Life",Great,Good,21682,2026.05.08,jmy7fhmk_7M,jmy7fhmk_7M.jpg
68,8:52,"일본 닮아가는 한국 부동산, 월세로 바뀌면 벌어지는 일 (홍춘욱 박사)",84715,25900,"부동산360",Great,Good,457,2026.05.08,EL0SEVvUdo4,EL0SEVvUdo4.jpg
69,18:49,"배당 ETF 10억 투자하면 진짜 배당금 얼마? | 공식분배금·실수령 차이",92320,10100,"은퇴머니 - 은퇴 현금흐름 설계",Great,Good,41,2026.05.08,KGOC_mfphu4,KGOC_mfphu4.jpg
70,46:44,"[세계사] 교회(개신교)와 성당(카톨릭)의 진짜 차이, 그들이 500년 전 나뉜 진짜 이유 | 천주교 정교회 개신교 기독교",220273,4450,"역사로그",Great,Great,21,2026.05.08,YqDWoNyHmgI,YqDWoNyHmgI.jpg
71,15:21,"국민가게 다이소 실태🔥 청소광 브라이언의 청소템 긴급 점검 (가성비템, 돈낭비템)",447828,311000,"더브라이언 The Brian",Good,Good,550,2026.05.05,9D3x2-hVOOE,9D3x2-hVOOE.jpg
72,36:12,"매일 먹는 아침인데 몰랐습니다! 당뇨 부르는 식사 vs 혈당 잡는 조합 | 전문의 추천 | 시니어건강 | 당뇨관리",138774,37500,"Dr. Lee Min Soo",Great,Good,119,2026.05.04,i4H_MgVKJIg,i4H_MgVKJIg.jpg
73,19:12,"행복한 사람들이 느끼는 공통된 심리. 긍정적인 사고를 만드는 뇌과학.",313844,22400,"심리연구실",Great,Good,152,2026.05.04,vl2h1qtG1eQ,vl2h1qtG1eQ.jpg
74,8:04,"[돌싱N모솔] 여자 출연자 파격 정체 폭로! 출연자 인스타 대공개! 실체 충격! #돌싱앤모솔#돌싱N모솔#돌싱n모솔#돌싱모솔#돌싱앤모솔#돌싱N모솔#돌싱n모솔#돌싱모솔",75312,7410,"이스트",Great,Great,428,2026.05.04,qeEYzAk-n_A,qeEYzAk-n_A.jpg
75,27:13,"334일간의 준비과정_폰팔이...서울개인택시 기사가 되다",89538,47400,"돌싱극장",Great,Good,690,2026.05.03,mD6Brkof7eI,mD6Brkof7eI.jpg
76,2:58,"[여의도튜브] 계약취소-美 제재위기 극복..잽싸게 그리스로 매각 / 머니투데이방송",1338262,1180000,"MTN 머니투데이방송",Great,Good,101463,2026.05.03,lbJaJeeSLVA,lbJaJeeSLVA.jpg
77,25:53,"멀쩡한 냉장고를 버리고 매일 같은 음식만 먹는 일본 30대 독신 미니멀리스트 (여권도 없음)",473606,321000,"미니멀유목민",Good,Good,468,2026.05.02,sPM9PPCDJ_k,sPM9PPCDJ_k.jpg
78,17:11,"헤어지기 위한 첫 단계",855797,378000,"그냥 필름",Good,Good,187,2026.05.02,tgLmXjeI86I,tgLmXjeI86I.jpg
79,9:43,"잘 입고 다니는 14 items 여름 상의 추천 ☀︎ 반팔티•블라우스•슬리브리스",100660,8150,"EUNSY",Great,Great,46,2026.05.01,L-zH4pkNHJg,L-zH4pkNHJg.jpg
80,14:29,"이케아 갓템 3종) 14만원으로 데스크테리어를 세팅하고 3개월 동안 사용해봤습니다. (feat. 3만원대 대형 모니터받침대 DIY)",61452,20600,"십만양품",Great,Good,54,2026.05.01,8KegeaKkAJo,8KegeaKkAJo.jpg
81,8:44,"""병원다녀도 낫지 않는 허리통증"" 엉치통증, 골반통증 이건 허리문제가 아닙니다 | 협착증, 허리디스크, 엉덩이통증",361737,19700,"통증의정석 [허리]",Great,Good,245,2026.05.01,W3fntJNcPyw,W3fntJNcPyw.jpg
82,9:50,"모두채움 신고 그냥 하면 손해볼 수 있어요 (종합소득세 신고방법)",123459,54400,"택스 튜브[Tax Tube]",Great,Good,452,2026.05.01,GXIKCveM4DM,GXIKCveM4DM.jpg
83,13:37,"인생을 힘빼고 살아야하는 뇌과학적 이유",203720,8390,"똑똑심리",Great,Great,19,2026.04.30,aAEfZtD48Vk,aAEfZtD48Vk.jpg
