순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,노출확률,총영상수,게시일,썸네일URL
1,"33:44","여태껏 몰랐던 걷기의 놀라운 치료 효과! (더 늦기 전에 많이 걸으세요!) / 잘 걷는 법 / 병의 90%는 걷기만 해도 낫는다 / 책읽어주는여자 SODA's 오디오북 ASMR","2,316,563","568,000","소리내어읽다","Good","Good","-","866","23.04.08",""
2,"18:06","읽어도 기억 안 나는 건 착각입니다 1번만 읽어도 외워지는 뇌과학 공부법 5가지","242,960","10,600","널위한심리학","Great","Good","-","37","26.04.06",""
3,"03:55","EBS '당신의 문해력' - 글을 읽을 때, 우리 뇌의 전전두엽은 어떻게 반응하고 있을까요? (OBELAB 오비이랩 NIRSIT LITE)","68,628","507","OBELAB","Good","Good","-","32","21.03.18",""
4,"05:23","[한글쌤과 함께하는 동화여행] 콧구멍을 후비면 신학기 바른습관 갖기 안좋은 습관 고치기 감성동화 구연동화","630,910","175,000","신나는동화여행 - 재미있는옛날이야기","Good","Good","-","707","21.03.05",""
5,"12:02","홍다통통 똥꿈 삽니다- 글 전은희, 그림 조히/ 태교동화 / 책읽어주는엄마 / 동화책읽어주기 / 잠잘때듣는동화","82,867","20,200","홍다통통","Good","Good","-","385","25.08.03",""
6,"31:42","성인 53%가 1년에 책 한권도 안 읽는 시대, 여전히 우리가 '책'을 읽어야 하는 이유","1,210,900","836,000","B tv 이동진의 파이아키아","Good","Good","-","552","24.02.08",""
7,"05:43","책을 읽어야 하는 '진짜' 이유","2,410,710","1,560,000","너진똑 NJT BOOK","Good","Good","-","216","21.02.13",""
