순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,노출확률,총영상수,게시일,썸네일URL
1,"02:57","Baby DONT Cry - '지금을 놓치면 분명 너 후회할 거야' MV","6,927,254","643,000","Baby DONT Cry","Good","Good","-","689","25.06.16",""
2,"12:26","놓치면 후회하는 결혼할때 꼭 잡아야 하는 사람 특징 3가지","489,171","235,000","권감각","Good","Good","-","750","24.01.25",""
3,"07:48","'이런 여자' 절대로 못 잊죠.../ 남자가 헤어지고 미친 듯 후회하게 되는 3가지 케이스","617,014","189,000","석구리","Good","Good","-","840","22.08.23",""
4,"21:41","후회를 삼켜봐야 뭐겠어요","68,306","939","나나","Good","Good","-","4","26.01.31",""
5,"26:41","(실화) 놓치면 후회하게 될.. 생애 최고의 영화 (결말포함)","625,722","157,000","고체극장","Good","Good","-","227","25.05.31",""
