순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,노출확률,총영상수,게시일,썸네일URL
1,"01:00","다큐멘터리K - 교육격차 1부 - 격차의 조건","56,525","16,000","EBS Preview","Good","Good","-","2,076","23.04.18",""
2,"17:49","60에 '이것' 없으면 진짜 삶의 질이 떨어집니다 - 20분 인생명언","2,588,737","1,890,000","MKTV 김미경TV","Good","Good","-","2,638","25.05.22",""
3,"00:41","인도 절대 가지 말라는 한국 영상을 본 인도여자","858,941","309,000","Den 덴","Good","Good","-","1,215","23.06.15",""
