순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,노출확률,총영상수,게시일,썸네일URL
1,"00:15","하루 중 눈이 일하는 시간은? 더 늦기 전에 아이클리어!_15s","60,363,305","27,700","건강 다다다 종근당건강 공식 유튜브","Good","Good","-","323","25.09.18",""
2,"00:15","더 늦기 전에, 20대 이상 여성을 위한 유방암 검진 필수 체크리스트!(ft. 경기도 지원)-요약","3,271,050","421","경기도의료원","Good","Good","-","46","25.09.29",""
3,"15:55","정부가 입 닫고 있는 소름 돋는 '경제 멈춤' 시그널! 늦기 전에 준비해야 할 3가지 리스트","127,406","5,820","돈의 속사정","Good","Good","-","72","25.12.28",""
4,"08:41","소리 없이 무너지는 간 건강, 더 늦기 전에 관리하자! [니코알 솔루션 5.0]","162,326","15,100","전대미문스튜디오","Good","Good","-","1,459","25.11.14",""
5,"01:24:40","더 늦기전에 피하세요 엄동설한에 시댁식구들의 식모살이 하던 며느리에게 속삭이는 천재 꼬마소년의 충격적인 한마디 (오디오북)","95,308","2,420","고운밤옛날이야기","Good","Good","-","18","26.02.12",""
6,"09:08","[쀼하] 늦기 전에 셋째를... 밥상 앞에서 폭탄선언한 소이현 #동상이몽_인교진_소이현","2,296,832","45,900","동상이몽","Good","Good","-","525","25.08.20",""
7,"03:58","늦기전에","78,689","5,820","김추자 - Topic","Good","Good","-","251","18.12.27",""
8,"05:55","92 내일은 늦으리 - 더 늦기전에 (Theme Song)","114,630","1,570","아가멤논","Good","Good","-","96","14.10.26",""
