순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,노출확률,총영상수,게시일,썸네일URL
1,"01:00:42","편안하게 독서할때 듣는 음악ㅣ집중력을 높이는 음악","19,595,889","164,000","HealingMate - Dog Music","Good","Good","-","1,511","21.02.05",""
2,"00:46","다이소 가성비 독서용품 3가지 추천","27,211","476","읽다솜","Good","Good","-","435","24.05.19",""
3,"02:16:50","[playlist] 독서를 더 특별하게 만드는 재즈 음악 모음","1,687,552","32,700","Jazz Hub","Good","Good","-","647","24.04.28",""
4,"00:56","나는 지금 잘 읽고 있을까? #비문학 #국어 #독서","2,833,366","62,100","미친국어","Good","Good","-","420","23.12.30",""
5,"01:00:17","독서할 때 듣기 좋은 음악 (피아노 연주 ASMR 1시간)","3,332,418","1,990,000","스터디언","Good","Good","-","6,282","21.11.20",""
6,"02:10:02","[playlist] 독서를 돕는 재즈 모음집","1,136,837","32,700","Jazz Hub","Good","Good","-","647","24.05.28",""
7,"10:01:27","[Playlist] 숲 공기 가득 마시며 일하기","12,703,395","166,000","마인드피아노 MIND PIANO","Good","Good","-","337","23.05.15",""
