type,start,end,dur_s,reason
KEEP,00:03:19.834,00:03:21.199,1.36,
CUT,00:03:21.199,00:03:21.697,0.50,silence
KEEP,00:03:21.697,00:03:28.142,6.45,
CUT,00:03:28.142,00:03:28.651,0.51,silence
KEEP,00:03:28.651,00:03:33.918,5.27,
CUT,00:03:33.918,00:03:34.451,0.53,silence
KEEP,00:03:34.451,00:03:36.285,1.83,
CUT,00:03:36.285,00:03:36.730,0.45,silence
KEEP,00:03:36.730,00:03:38.056,1.33,
CUT,00:03:38.056,00:03:38.603,0.55,silence
KEEP,00:03:38.603,00:03:44.069,5.47,
CUT,00:03:44.069,00:03:44.460,0.39,silence
KEEP,00:03:44.460,00:03:46.065,1.60,
CUT,00:03:46.065,00:03:46.549,0.48,silence
KEEP,00:03:46.549,00:03:47.993,1.44,
CUT,00:03:47.993,00:03:48.354,0.36,silence
KEEP,00:03:48.354,00:03:50.368,2.01,
CUT,00:03:50.368,00:03:50.899,0.53,silence
KEEP,00:03:50.899,00:03:54.516,3.62,
CUT,00:03:54.516,00:03:54.885,0.37,silence
KEEP,00:03:54.885,00:03:57.064,2.18,
CUT,00:03:57.064,00:03:57.499,0.43,silence
KEEP,00:03:57.499,00:03:58.891,1.39,
CUT,00:03:58.891,00:04:01.025,2.13,silence
KEEP,00:04:01.025,00:04:04.706,3.68,
CUT,00:04:04.706,00:04:05.018,0.31,silence
KEEP,00:04:05.018,00:04:06.712,1.69,
CUT,00:04:06.712,00:04:07.085,0.37,silence
KEEP,00:04:07.085,00:04:09.578,2.49,
CUT,00:04:09.578,00:04:10.138,0.56,silence
KEEP,00:04:10.138,00:04:14.298,4.16,
CUT,00:04:14.298,00:04:14.812,0.51,silence
KEEP,00:04:14.812,00:04:17.311,2.50,
CUT,00:04:17.311,00:04:17.619,0.31,silence
KEEP,00:04:17.619,00:04:22.241,4.62,
CUT,00:04:22.241,00:04:22.740,0.50,silence
KEEP,00:04:22.740,00:04:25.609,2.87,
CUT,00:04:25.609,00:04:26.164,0.56,silence
KEEP,00:04:26.164,00:04:27.745,1.58,
CUT,00:04:27.745,00:04:28.286,0.54,silence
KEEP,00:04:28.286,00:04:30.663,2.38,
CUT,00:04:30.663,00:04:31.312,0.65,silence
KEEP,00:04:31.312,00:04:34.380,3.07,
CUT,00:04:34.380,00:04:35.090,0.71,silence
KEEP,00:04:35.090,00:04:38.374,3.28,
CUT,00:04:38.374,00:04:38.756,0.38,silence
KEEP,00:04:38.756,00:04:42.999,4.24,
CUT,00:04:42.999,00:04:43.467,0.47,silence
KEEP,00:04:43.467,00:04:49.186,5.72,
CUT,00:04:49.186,00:04:49.810,0.62,silence
KEEP,00:04:49.810,00:04:55.508,5.70,
CUT,00:04:55.508,00:04:55.818,0.31,silence
KEEP,00:04:55.818,00:04:57.059,1.24,
CUT,00:04:57.059,00:04:57.464,0.41,silence
KEEP,00:04:57.464,00:05:01.296,3.83,
CUT,00:05:01.296,00:05:01.729,0.43,silence
KEEP,00:05:01.729,00:05:03.020,1.29,
CUT,00:05:03.020,00:05:03.408,0.39,silence
KEEP,00:05:03.408,00:05:06.341,2.93,
CUT,00:05:06.341,00:05:06.667,0.33,silence
KEEP,00:05:06.667,00:05:09.778,3.11,
CUT,00:05:09.778,00:05:10.351,0.57,silence
KEEP,00:05:10.351,00:05:11.403,1.05,
CUT,00:05:11.403,00:05:11.789,0.39,silence
KEEP,00:05:11.789,00:05:14.757,2.97,
CUT,00:05:14.757,00:05:15.189,0.43,silence
KEEP,00:05:15.189,00:05:20.398,5.21,
CUT,00:05:20.398,00:05:21.703,1.30,silence
KEEP,00:05:21.703,00:05:26.350,4.65,
CUT,00:05:26.350,00:05:26.856,0.51,silence
KEEP,00:05:26.856,00:05:31.523,4.67,
CUT,00:05:31.523,00:05:31.991,0.47,silence
KEEP,00:05:31.991,00:05:40.274,8.28,
CUT,00:05:40.274,00:05:42.110,1.84,silence
KEEP,00:05:42.110,00:05:42.901,0.79,
CUT,00:05:42.901,00:05:43.441,0.54,silence
KEEP,00:05:43.441,00:05:54.890,11.45,
CUT,00:05:54.890,00:05:55.292,0.40,silence
KEEP,00:05:55.292,00:05:56.448,1.16,
CUT,00:05:56.448,00:05:56.875,0.43,silence
KEEP,00:05:56.875,00:05:59.764,2.89,
CUT,00:05:59.764,00:06:01.453,1.69,silence
KEEP,00:06:01.453,00:06:07.955,6.50,
CUT,00:06:07.955,00:06:08.478,0.52,silence
KEEP,00:06:08.478,00:06:11.155,2.68,
CUT,00:06:11.155,00:06:11.674,0.52,silence
KEEP,00:06:11.674,00:06:13.204,1.53,
CUT,00:06:13.204,00:06:13.571,0.37,silence
KEEP,00:06:13.571,00:06:16.210,2.64,
CUT,00:06:16.210,00:06:16.863,0.65,silence
KEEP,00:06:16.863,00:06:19.230,2.37,
CUT,00:06:19.230,00:06:19.693,0.46,silence
KEEP,00:06:19.693,00:06:23.685,3.99,
CUT,00:06:23.685,00:06:24.109,0.42,silence
KEEP,00:06:24.109,00:06:27.022,2.91,
CUT,00:06:27.022,00:06:27.541,0.52,silence
KEEP,00:06:27.541,00:06:30.208,2.67,
CUT,00:06:30.208,00:06:30.711,0.50,silence
KEEP,00:06:30.711,00:06:33.455,2.74,
CUT,00:06:33.455,00:06:33.909,0.45,silence
KEEP,00:06:33.909,00:06:35.837,1.93,
CUT,00:06:35.837,00:06:36.276,0.44,silence
KEEP,00:06:36.276,00:06:37.618,1.34,
CUT,00:06:37.618,00:06:38.461,0.84,silence
KEEP,00:06:38.461,00:06:40.476,2.02,
CUT,00:06:40.476,00:06:41.080,0.60,silence
KEEP,00:06:41.080,00:06:42.102,1.02,
CUT,00:06:42.102,00:06:42.565,0.46,silence
KEEP,00:06:42.565,00:06:48.024,5.46,
CUT,00:06:48.024,00:06:48.438,0.41,silence
KEEP,00:06:48.438,00:06:51.952,3.51,
CUT,00:06:51.952,00:06:52.518,0.57,silence
KEEP,00:06:52.518,00:06:54.897,2.38,
CUT,00:06:54.897,00:06:55.264,0.37,silence
KEEP,00:06:55.264,00:06:56.570,1.31,
CUT,00:06:56.570,00:06:57.010,0.44,silence
KEEP,00:06:57.010,00:06:58.520,1.51,
CUT,00:06:58.520,00:06:58.945,0.42,silence
KEEP,00:06:58.945,00:07:00.432,1.49,
CUT,00:07:00.432,00:07:00.744,0.31,silence
KEEP,00:07:00.744,00:07:02.067,1.32,
CUT,00:07:02.067,00:07:02.403,0.34,silence
KEEP,00:07:02.403,00:07:04.673,2.27,
CUT,00:07:04.673,00:07:05.857,1.18,silence
KEEP,00:07:05.857,00:07:10.233,4.38,
CUT,00:07:10.233,00:07:10.757,0.52,silence
KEEP,00:07:10.757,00:07:12.961,2.20,
CUT,00:07:12.961,00:07:13.374,0.41,silence
